SPAED_p_TCGAb_380_381_NSP_GenomeWideSNP_6_E06_1465300.CEL TCGA-2W-A8YY
ENATE_p_TCGAb_394_395_396_NSP_GenomeWideSNP_6_A12_1474170.CEL TCGA-4J-AA1J
AMAZE_p_TCGASNP_b86_87_88_N_GenomeWideSNP_6_C05_735520.CEL TCGA-BI-A0VR
AMAZE_p_TCGASNP_b86_87_88_N_GenomeWideSNP_6_A09_735506.CEL TCGA-BI-A0VS
BLATE_p_TCGA_b127_wSarc_SNP_N_GenomeWideSNP_6_B10_805462.CEL TCGA-BI-A20A
BLATE_p_TCGA_b127_wSarc_SNP_N_GenomeWideSNP_6_D03_805322.CEL TCGA-C5-A0TN
STOPS_p_TCGA_b101_114_SNP_N_GenomeWideSNP_6_F02_771704.CEL TCGA-C5-A1BE
STOPS_p_TCGA_b101_114_SNP_N_GenomeWideSNP_6_G02_771674.CEL TCGA-C5-A1BF
STOPS_p_TCGA_b101_114_SNP_N_GenomeWideSNP_6_C06_771786.CEL TCGA-C5-A1BI
STOPS_p_TCGA_b101_114_SNP_N_GenomeWideSNP_6_G05_771726.CEL TCGA-C5-A1BJ
STOPS_p_TCGA_b101_114_SNP_N_GenomeWideSNP_6_C07_771702.CEL TCGA-C5-A1BK
STOPS_p_TCGA_b101_114_SNP_N_GenomeWideSNP_6_C12_771718.CEL TCGA-C5-A1BL
STOPS_p_TCGA_b101_114_SNP_N_GenomeWideSNP_6_A10_771750.CEL TCGA-C5-A1BM
BLATE_p_TCGA_b127_wSarc_SNP_N_GenomeWideSNP_6_C04_805438.CEL TCGA-C5-A1BN
OKRAS_p_TCGA_198_199_200_SNP_N_GenomeWideSNP_6_B05_955474.CEL TCGA-C5-A1BQ
STOPS_p_TCGA_b101_114_SNP_N_GenomeWideSNP_6_C10_771734.CEL TCGA-C5-A1M5
STOPS_p_TCGA_b101_114_SNP_N_GenomeWideSNP_6_F09_771730.CEL TCGA-C5-A1M6
STOPS_p_TCGA_b101_114_SNP_N_GenomeWideSNP_6_G07_771724.CEL TCGA-C5-A1M7
STOPS_p_TCGA_b101_114_SNP_N_GenomeWideSNP_6_D01_771738.CEL TCGA-C5-A1M8
STOPS_p_TCGA_b101_114_SNP_N_GenomeWideSNP_6_F03_771710.CEL TCGA-C5-A1M9
STOPS_p_TCGA_b101_114_SNP_N_GenomeWideSNP_6_C04_771828.CEL TCGA-C5-A1ME
STOPS_p_TCGA_b101_114_SNP_N_GenomeWideSNP_6_G04_771838.CEL TCGA-C5-A1MF
BLATE_p_TCGA_b127_wSarc_SNP_N_GenomeWideSNP_6_B07_805324.CEL TCGA-C5-A1MH
BLATE_p_TCGA_b127_wSarc_SNP_N_GenomeWideSNP_6_B02_805388.CEL TCGA-C5-A1MI
BLATE_p_TCGA_b127_wSarc_SNP_N_GenomeWideSNP_6_C05_805382.CEL TCGA-C5-A1MJ
BLATE_p_TCGA_b127_wSarc_SNP_N_GenomeWideSNP_6_C06_805452.CEL TCGA-C5-A1MK
BLATE_p_TCGA_b127_wSarc_SNP_N_GenomeWideSNP_6_D01_805386.CEL TCGA-C5-A1ML
BLATE_p_TCGA_b127_wSarc_SNP_N_GenomeWideSNP_6_D02_805474.CEL TCGA-C5-A1MN
BLATE_p_TCGA_b127_wSarc_SNP_N_GenomeWideSNP_6_D04_805338.CEL TCGA-C5-A1MP
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_G09_1245192.CEL TCGA-C5-A2LS
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A12_871006.CEL TCGA-C5-A2LT
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_F03_871096.CEL TCGA-C5-A2LV
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_C08_871166.CEL TCGA-C5-A2LX
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_B04_871148.CEL TCGA-C5-A2LY
OKRAS_p_TCGA_198_199_200_SNP_N_GenomeWideSNP_6_E03_955450.CEL TCGA-C5-A2LZ
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_B07_871114.CEL TCGA-C5-A2M1
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_B11_871022.CEL TCGA-C5-A2M2
OKRAS_p_TCGA_198_199_200_SNP_N_GenomeWideSNP_6_A03_955432.CEL TCGA-C5-A3HD
SHOWS_p_7TCGA_236_238_Mx_N_GenomeWideSNP_6_A06_1244532.CEL TCGA-C5-A3HE
OKRAS_p_TCGA_198_199_200_SNP_N_GenomeWideSNP_6_B11_955336.CEL TCGA-C5-A3HF
OKRAS_p_TCGA_198_199_200_SNP_N_GenomeWideSNP_6_A05_955322.CEL TCGA-C5-A3HL
THREW_p_TCGAb_329_335_336_NSP_GenomeWideSNP_6_B02_1367162.CEL TCGA-C5-A7CG
DIODE_p_TCGAb3_47_48_49_50_NSP_GenomeWideSNP_6_F05_1373302.CEL TCGA-C5-A7CH
THREW_p_TCGAb_329_335_336_NSP_GenomeWideSNP_6_B04_1367070.CEL TCGA-C5-A7CJ
THREW_p_TCGAb_329_335_336_NSP_GenomeWideSNP_6_B06_1367216.CEL TCGA-C5-A7CK
THREW_p_TCGAb_329_335_336_NSP_GenomeWideSNP_6_B08_1367060.CEL TCGA-C5-A7CL
DIODE_p_TCGAb3_47_48_49_50_NSP_GenomeWideSNP_6_F07_1373230.CEL TCGA-C5-A7CM
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F06_1388078.CEL TCGA-C5-A7CO
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F10_1388036.CEL TCGA-C5-A7UC
DIODE_p_TCGAb3_47_48_49_50_NSP_GenomeWideSNP_6_F09_1373340.CEL TCGA-C5-A7UE
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_G05_1388138.CEL TCGA-C5-A7UH
